Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Ka'Deem Carey,RB,Arizona,4,117,https://www.sports-reference.com/cfb/players/kadeem-carey-1.html,69,207,4.69,19.0,32.5,115.0,7.08,4.38,Pac-12,36,3,,,,,,,,,,,,,,,,,,,,,77,679,8.8,4,743,4239,5.7,48,820,4918,6.0,52,,,,,,,,,,,,,,,,,,2014
Derek Carr,QB,Fresno State,2,36,https://www.sports-reference.com/cfb/players/derek-carr-1.html,74,214,4.69,,34.5,110.0,,4.2,WAC,44,4,,,,,,,,,,,,,,1087,1630,66.7,12843,113,24,152.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Ryan Carrethers,DT,Arkansas State,5,165,https://www.sports-reference.com/cfb/players/ryan-carrethers-1.html,73,337,5.47,32.0,26.0,88.0,7.89,4.6,Sun Belt,36,3,58,138,196,14.5,6.5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Travis Carrie,CB,Ohio,7,219,https://www.sports-reference.com/cfb/players/travis-carrie-1.html,72,206,4.49,17.0,,,,,MAC,50,4,108,57,165,9.0,3.0,9,190,2,26,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Steven Clark,P,Auburn,0,0,https://www.sports-reference.com/cfb/players/steven-clark-1.html,77,231,5.18,,,,,,SEC,43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,207,8423,40.7,2014
Will Clarke,DE,West Virginia,3,88,https://www.sports-reference.com/cfb/players/will-clarke-1.html,78,271,4.77,22.0,32.0,112.0,7.26,4.57,Big East,25,2,68,42,110,28.5,9.5,0,0,0,8,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Ha Ha Clinton-Dix,S,Alabama,1,21,https://www.sports-reference.com/cfb/players/ha-ha-clinton-dix-1.html,73,208,4.58,11.0,33.0,119.0,7.16,4.16,SEC,38,3,58,40,98,4.0,0.0,7,115,0,15,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Jadeveon Clowney,DE,South Carolina,1,1,https://www.sports-reference.com/cfb/players/jadeveon-clowney-1.html,77,266,4.53,21.0,37.5,124.0,7.27,4.43,SEC,24,2,85,44,129,47.0,24.0,0,0,0,7,1,2,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Ross Cockrell,CB,Duke,4,109,https://www.sports-reference.com/cfb/players/ross-cockrell-1.html,72,191,4.56,10.0,36.5,122.0,7.28,4.32,ACC,49,4,154,79,233,7.0,2.0,12,80,1,28,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Brandon Coleman,WR,Rutgers,0,0,https://www.sports-reference.com/cfb/players/brandon-coleman-2.html,78,225,4.56,21.0,32.5,,7.33,4.51,Big East,38,3,,,,,,,,,,,,,,,,,,,,,94,1808,19.2,20,0,0,,0,94,1808,19.2,20,,,,,,,,,,,,,,,,,,2014
