Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Edwin Baker,RB,Michigan State,7,250,https://www.sports-reference.com/cfb/players/edwin-baker-1.html,68.0,204.0,4.44,20.0,35.0,111.0,7.27,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Mike Ball,RB,Nevada,0,0,https://www.sports-reference.com/cfb/players/mike-ball-1.html,68.0,206.0,4.54,21.0,36.0,112.0,7.1,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Vick Ballard,RB,Mississippi State,5,170,https://www.sports-reference.com/cfb/players/vick-ballard-1.html,70.0,219.0,4.59,23.0,33.0,115.0,7.03,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Mark Barron,S,Alabama,1,7,https://www.sports-reference.com/cfb/players/mark-barron-1.html,73.0,213.0,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Travis Benjamin,WR,Miami (FL),4,100,https://www.sports-reference.com/cfb/players/travis-benjamin-1.html,70.0,172.0,4.31,14.0,38.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Jake Bequette,DE,Arkansas,3,90,https://www.sports-reference.com/cfb/players/jake-bequette-1.html,77.0,274.0,4.75,,34.0,113.0,6.9,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Tony Bergstrom,OT,Utah,3,95,https://www.sports-reference.com/cfb/players/tony-bergstrom-1.html,77.0,313.0,5.19,32.0,29.5,101.0,7.95,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Justin Blackmon,WR,Oklahoma State,1,5,https://www.sports-reference.com/cfb/players/justin-blackmon-1.html,73.0,207.0,4.46,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Philip Blake,C,Baylor,4,108,https://www.sports-reference.com/cfb/players/philip-blake-1.html,75.0,311.0,5.17,22.0,29.5,105.0,7.86,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
Robert Blanton,CB,Notre Dame,5,139,https://www.sports-reference.com/cfb/players/robert-blanton-1.html,73.0,208.0,4.66,12.0,34.0,116.0,6.71,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
